Département;Année;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total
Loire-Atlantique;2005;319282;332491;331087;145633;90317;1218810
Loire-Atlantique;2006;322638;334874;337550;145620;93403;1234085
Loire-Atlantique;2007;323801;337407;339937;149527;96126;1246798
Loire-Atlantique;2008;327016;335206;339721;154865;99063;1255871
Loire-Atlantique;2009;327703;336242;339997;161266;101150;1266358
Loire-Atlantique;2010;331841;335966;341527;168126;104592;1282052
Loire-Atlantique;2011;335130;336630;344144;174036;106424;1296364
Loire-Atlantique;2012;338331;337190;348472;180576;108752;1313321
Loire-Atlantique;2013;343755;335690;351387;186995;110793;1328620
Loire-Atlantique;2014;348214;338158;355472;192224;112524;1346592
Loire-Atlantique;2015;353654;341554;358080;197348;114591;1365227
Loire-Atlantique;2016;357738;344320;360568;203772;114949;1381347
Loire-Atlantique;2017;360673;348562;362296;210984;114922;1397437
Loire-Atlantique;2018;364233;351454;364830;217130;115694;1413341
Maine-et-Loire;2005;203411;202225;201350;92258;62285;761529
Maine-et-Loire;2006;204051;201816;204251;92298;64243;766659
Maine-et-Loire;2007;205802;199885;205023;94421;65646;770777
Maine-et-Loire;2008;206070;199144;205314;96777;67518;774823
Maine-et-Loire;2009;206301;199135;205010;100530;69106;780082
Maine-et-Loire;2010;205810;199493;205367;103293;70847;784810
Maine-et-Loire;2011;208070;197889;205403;106435;72546;790343
Maine-et-Loire;2012;210411;195867;206614;109537;73128;795557
Maine-et-Loire;2013;210695;194555;207340;113498;74103;800191
Maine-et-Loire;2014;212297;192612;208951;116434;75594;805888
Maine-et-Loire;2015;212335;191428;208925;119888;77610;810186
Maine-et-Loire;2016;212813;191018;208603;123809;77761;814004
Maine-et-Loire;2017;213347;190536;207829;128162;77644;817518
Maine-et-Loire;2018;213157;190359;207535;131570;78034;820655
Mayenne;2005;76751;73945;79182;39602;27404;296884
Mayenne;2006;78138;72746;80680;39032;28404;299000
Mayenne;2007;78305;72305;81344;39641;29048;300643
Mayenne;2008;78100;72415;81400;40606;30462;302983
Mayenne;2009;78367;72248;81379;41740;31413;305147
Mayenne;2010;79500;70593;81721;42757;31766;306337
Mayenne;2011;79757;69053;81708;44025;32488;307031
Mayenne;2012;79679;68336;81945;44852;32641;307453
Mayenne;2013;79179;67304;81714;45852;33451;307500
Mayenne;2014;79166;66204;81487;47066;33548;307471
Mayenne;2015;79479;64607;81579;48137;34138;307940
Mayenne;2016;79043;63823;81231;49533;33931;307561
Mayenne;2017;78393;63386;80491;51233;33511;307014
Mayenne;2018;77648;62692;79763;52825;33395;306323
Sarthe;2005;139603;138452;148470;73579;49963;550067
Sarthe;2006;139667;137504;151858;73139;51316;553484
Sarthe;2007;140646;136330;152577;74745;52648;556946
Sarthe;2008;141016;135223;152834;76589;53925;559587
Sarthe;2009;140830;134182;152436;78636;54966;561050
Sarthe;2010;141080;133128;152576;80560;56174;563518
Sarthe;2011;142165;131359;152036;82890;57268;565718
Sarthe;2012;142176;129571;152595;84721;58319;567382
Sarthe;2013;142936;127441;152512;87143;59003;569035
Sarthe;2014;142393;125508;151849;89393;59617;568760
Sarthe;2015;142285;123026;151536;91933;59665;568445
Sarthe;2016;141838;121827;150393;94639;59385;568082
Sarthe;2017;141521;120754;148794;97541;59169;567779
Sarthe;2018;140710;119951;147226;100091;58923;566901
Vendée;2005;140142;142419;161997;88654;54889;588101
Vendée;2006;142611;142979;165967;88537;57091;597185
Vendée;2007;145060;143469;168273;91754;58874;607430
Vendée;2008;146478;144744;169195;95453;61036;616906
Vendée;2009;149889;144641;169446;99273;63162;626411
Vendée;2010;151968;144213;170676;102763;65158;634778
Vendée;2011;153020;144087;171255;106117;67178;641657
Vendée;2012;154468;143198;173070;109777;68388;648901
Vendée;2013;156156;142034;173935;113619;69762;655506
Vendée;2014;158934;139020;175479;116984;71705;662122
Vendée;2015;159723;136971;176405;120889;72726;666714
Vendée;2016;160535;135866;177212;124829;73202;671644
Vendée;2017;160422;135871;177300;129299;73158;676050
Vendée;2018;160218;135483;177647;133141;73702;680191
